temp,treatment,infection_status,ID,total_spvs,death,secondary
24,0,Uninfected,367,0,34,FALSE
24,0,Uninfected,313,0,37,FALSE
24,0,Uninfected,307,0,42,FALSE
24,0,Uninfected,304,0,44,FALSE
24,0,Uninfected,310,0,44,FALSE
24,0,Uninfected,325,0,44,FALSE
24,0,Uninfected,358,0,44,FALSE
24,0,Uninfected,364,0,44,FALSE
24,0,Uninfected,301,0,45,FALSE
24,0,Uninfected,322,0,54,FALSE
24,0,Uninfected,316,0,55,FALSE
24,0,Uninfected,361,0,56,FALSE
24,0,Uninfected,346,0,61,FALSE
24,0,Uninfected,328,0,67,FALSE
24,0,Uninfected,331,0,68,FALSE
24,0,Uninfected,337,0,81,FALSE
27,1,Infected,435,0,1,FALSE
27,1,Infected,406,10,11,FALSE
27,1,Infected,442,1,12,FALSE
27,1,Infected,424,0,13,FALSE
27,1,Infected,453,6,14,FALSE
27,1,Infected,405,0,14,FALSE
27,1,Infected,414,2,15,FALSE
27,1,Infected,417,0,17,FALSE
27,1,Infected,454,8,21,FALSE
27,1,Infected,408,0,23,FALSE
27,1,Infected,409,24,26,FALSE
27,1,Infected,472,50,28,FALSE
27,1,Infected,403,1,29,FALSE
27,1,Infected,438,5,30,FALSE
27,1,Infected,459,15,30,FALSE
27,1,Infected,460,3,30,FALSE
27,1,Infected,465,4,31,FALSE
27,1,Infected,462,5,32,FALSE
27,1,Infected,439,1,36,FALSE
27,1,Infected,451,0,28,FALSE
27,1,Infected,429,0,32,FALSE
27,1,Infected,412,0,33,FALSE
27,1,Infected,427,0,33,FALSE
27,1,Infected,430,0,33,FALSE
27,1,Infected,450,0,34,FALSE
27,1,Infected,436,0,36,FALSE
27,1,Infected,418,0,37,FALSE
27,1,Infected,421,0,37,FALSE
27,1,Infected,423,0,37,FALSE
27,1,Infected,456,0,37,FALSE
27,1,Infected,457,0,37,FALSE
27,1,Infected,415,0,38,FALSE
27,1,Infected,448,0,38,FALSE
27,1,Infected,432,0,39,FALSE
27,1,Infected,447,0,40,FALSE
27,1,Infected,463,0,40,FALSE
27,1,Infected,445,0,42,FALSE
27,1,Infected,471,0,44,FALSE
27,1,Infected,468,0,45,FALSE
27,1,Infected,426,0,47,FALSE
